GEOID,tract,female_clf,female_unemp,male_clf,male_unemp,unemp_rate_f,unemp_rate_f_moe,unemp_rate_m,unemp_rate_m_moe,gap_f_minus_m,cv_f,median_hh_income,pct_poverty,pct_bachelors_plus,total_pop,pct_hispanic,pct_white_nh,pct_black_nh,pct_asian_nh
06037101110,101110,1128,107,1265,9,9.48581560283688,6.70207525329981,0.711462450592885,1.55915652642891,8.774353152244,42.9505490198119,88438,13.0630630630631,28.7254901960784,4294,32.9063809967396,53.9124359571495,1.95621797857476,7.82487191429902
06037101122,101122,970,70,1276,116,7.21649484536083,5.83504815480763,9.09090909090909,6.43143670587774,-1.87441424554827,49.1532497626001,104643,6.93669658016008,38.0622837370242,4124,11.8816682832202,71.2657613967022,0.2909796314258,12.3423860329777
06037101220,101220,996,46,981,85,4.61847389558233,4.18565404518265,8.66462793068298,5.7137941643581,-4.04615403510065,55.093318739288,92317,18.8347274300548,36.7476635514019,3467,37.3233342947794,45.5148543409288,0.259590423997693,13.960196134987
06037101221,101221,843,57,742,0,6.76156583629893,6.06626378164082,0,1.88679245283019,6.76156583629893,54.5391176656877,52204,17.7001127395716,27.78198334595,3593,31.0047314222099,50.6818814361258,4.00779293069858,5.14890064013359
06037101222,101222,542,34,658,44,6.27306273062731,10.3252120410861,6.68693009118541,10.8526659463296,-0.413867360558104,100.058375223827,38125,14.9516270888303,16.6190748143918,2290,40.3930131004367,51.17903930131,0.611353711790393,1.26637554585153
06037101300,101300,1086,34,1076,139,3.13075506445672,3.27985586745085,12.9182156133829,7.24670795646409,-9.78746054892618,63.6853830154055,127566,7.80916211725611,37.6838235294118,4253,15.0246884552081,75.452621678815,0.329179402774512,4.5144603809076
06037101400,101400,995,47,1142,88,4.72361809045226,4.14660923824581,7.70577933450088,4.89912546695606,-2.98216124404861,53.3644983774764,87138,5.19610292280789,32.1220930232558,4006,27.3339990014978,59.735396904643,1.99700449326011,7.01447828257614
06037102103,102103,445,43,502,41,9.66292134831461,9.36474441355203,8.16733067729084,7.55287225031458,1.49559067102377,58.9144166824154,76594,11.3746369796709,35.1825842696629,2066,1.98451113262343,78.944820909971,10.9390125847047,7.50242013552759
06037102104,102104,891,38,1108,124,4.2648709315376,6.62733911352446,11.1913357400722,7.61788485433224,-6.9264648085346,94.4642321252646,109460,9.57844849089549,45.4234972677596,4231,12.5738596076578,71.2361143937604,1.77263058378634,12.8338454266131
06037102105,102105,330,0,400,17,0,4.24242424242424,4.25,5.09667435227375,-4.25,,70750,9.61158657011192,21.5940685820204,1519,62.4094799210007,17.5115207373272,2.96247531270573,12.9690585911784
06037102107,102107,982,111,904,83,11.3034623217923,12.8389494652064,9.18141592920354,7.58753855706202,2.12204639258872,69.048157807348,106218,13.7844611528822,33.5551663747811,3699,26.4125439307921,64.7472289808056,0.48661800486618,4.08218437415518
06037103101,103101,716,25,928,120,3.49162011173184,4.0575855572621,12.9310344827586,8.32666131014237,-9.43941437102678,70.6439211914812,112083,5.1808066759388,33.0995792426367,2876,29.346314325452,58.1015299026426,0.0695410292072323,8.20584144645341
06037103102,103102,997,33,1146,197,3.3099297893681,4.30183740209517,17.1902268760908,9.79932811489198,-13.8802970867226,79.0076796516327,73642,13.4341837886656,20.225988700565,4475,18.2346368715084,68.7821229050279,1.72067039106145,7.75418994413408
06037103201,103201,935,66,1209,87,7.05882352941176,6.67869399010823,7.19602977667494,6.60282494683039,-0.137206247263173,57.5166149097467,69347,9.44257568476694,24.7214694369166,4275,41.8947368421053,44.327485380117,2.94736842105263,9.38011695906433
06037103202,103202,671,0,507,39,0,2.08643815201192,7.69230769230769,7.57476014498216,-7.69230769230769,,122560,3.4563288183092,36.1740166865316,2146,25.4892823858341,49.3010251630941,3.07548928238583,1.72413793103448
06037103300,103300,805,69,1060,92,8.57142857142857,9.63686507155223,8.67924528301887,5.59426988991401,-0.107816711590297,68.3465607911506,120134,7.40053050397878,37.4549387166547,3781,15.1811690029093,68.7648770166623,2.08939434012166,6.79714361280085
06037103401,103401,489,12,951,97,2.45398773006135,4.33602917798199,10.1997896950578,10.8248248388437,-7.74580196499649,107.41227295001,101628,9.8334655035686,42.8795811518325,2522,17.9619349722443,65.5828707375099,0.277557494052339,11.3005551149881
06037103402,103402,936,39,1004,0,4.16666666666667,4.30783587348641,0,1.39442231075697,4.16666666666667,62.8498850843002,100059,10.1092131055727,33.3218351155571,3626,19.1947049089906,65.7473800330943,5.79150579150579,4.6607832322118
06037104103,104103,922,93,1033,132,10.0867678958785,6.32773508433344,12.7783155856728,9.82052611649393,-2.69154768979427,38.1355802709771,96607,12.503202664617,17.7624409734835,4063,71.621954221019,8.31897612601526,10.8540487324637,5.43933054393305
06037104105,104105,1207,103,1343,102,8.53355426677713,6.89101522319348,7.59493670886076,5.55875783926796,0.938617557916375,49.089358009824,60507,21.4372504773477,16.6620916826791,5766,80.9399930627818,5.08151231356226,7.40548040235865,1.92507804370447
06037104108,104108,1006,79,1476,126,7.85288270377734,7.2864693859949,8.53658536585366,6.86788541968172,-0.683702662076323,56.4055881059665,74506,14.1729094958494,10.5109489051095,4939,83.1949787406358,2.1664304515084,6.7422555173112,3.86717959101033
06037104124,104124,1248,147,1018,66,11.7788461538462,11.6806118291091,6.48330058939096,6.70791131824752,5.29554556445519,60.2832891372668,83958,9.0745962573699,26.9606193200942,3950,50.7594936708861,31.4683544303798,9.67088607594937,5.79746835443038
06037104201,104201,1004,124,1464,111,12.3505976095618,6.79238243120301,7.58196721311475,4.33047641060599,4.768630396447,33.4324539706237,107083,8.04252368846776,12.6798260287722,4337,85.4277150103758,0.230574129582661,9.43048189993083,4.79594189531935
06037104203,104203,1065,148,1394,165,13.8967136150235,7.95972656498464,11.8364418938307,7.17165337494547,2.06027172119277,34.8193082712094,74008,18.9634146341463,9.81210855949896,4992,93.8501602564103,0.821314102564103,2.96474358974359,1.10176282051282
06037104204,104204,726,11,787,46,1.51515151515152,2.6149987338112,5.84498094027954,4.7645116973273,-4.32982942512803,104.917882329203,76250,13.1854590264941,13.8061267310113,3577,77.4391948560246,12.636287391669,4.55689124965055,3.46659211629857
06037104310,104310,1042,38,1234,105,3.6468330134357,3.27377043799473,8.50891410048623,5.16666302674819,-4.86208108705052,54.5715692911615,92457,12.4082721814543,8.65093768905021,4561,94.3214207410656,1.75400131550099,1.18395088796317,0.306950230212673
06037104321,104321,551,60,726,66,10.8892921960073,9.06317121889198,9.09090909090909,6.71593768479171,1.79838310509817,50.5958190639259,58047,17.3881411422335,4.63739516526887,2749,91.7424518006548,1.01855220080029,0.945798472171699,0.873044743543107
06037104322,104322,375,16,634,22,4.26666666666667,6.22137439811184,3.47003154574133,3.79686971724599,0.796635120925342,88.6404027086604,106400,4.58404074702886,15.7198443579767,1778,89.1451068616423,2.58717660292463,1.5185601799775,2.08098987626547
06037104401,104401,707,8,681,96,1.13154172560113,2.59622809996698,14.0969162995595,7.85513883462997,-12.9653745739583,139.478211753545,77875,17.4080560420315,12.70207852194,2862,95.9818308874913,3.38923829489867,0.628930817610063,0
06037104403,104403,616,17,634,60,2.75974025974026,3.78039848285703,9.46372239747634,6.5830046260312,-6.70398213773608,83.2728576949734,88571,18.655462184874,9.22391857506361,2410,95.4771784232365,1.41078838174274,0,3.11203319502075
06037104404,104404,731,44,991,60,6.01915184678523,5.63967241825508,6.05449041372351,3.8855239609115,-0.035338566938286,56.9577305573979,83173,11.7341040462428,6.17283950617284,3477,97.2677595628415,0.977854472246189,0,1.23669830313489
06037104500,104500,755,69,726,25,9.13907284768212,6.17633616458569,3.4435261707989,4.88568844894819,5.69554667688322,41.0830695058561,75536,33.7202553685432,6.27973358705994,3472,97.5230414746544,1.3536866359447,0.144009216589862,0.777649769585254
06037104610,104610,577,30,821,14,5.19930675909879,6.15006576512679,1.70523751522534,2.40882332349433,3.49406924387345,71.9065440015837,88171,9.9344262295082,5.72576594676042,3112,97.0115681233933,1.83161953727506,0,0.44987146529563
06037104620,104620,599,43,956,45,7.17863105175292,6.70955852768946,4.7071129707113,3.95618183544845,2.47151808104162,56.8180611873329,91875,19.0053848590434,11.0264227642276,3198,95.4033771106942,3.31457160725453,0.375234521575985,0.187617260787992
06037104701,104701,918,91,998,107,9.91285403050109,7.22097223652674,10.7214428857715,5.4289844693741,-0.808588855270454,44.2823909491402,51000,33.5255948089402,7.83027121609799,4175,98.4191616766467,0.263473053892216,1.31736526946108,0
06037104703,104703,470,38,858,99,8.08510638297872,7.37374169161608,11.5384615384615,6.94191009684162,-3.45335515548281,55.4416668542562,,18.5320356853204,7.68753874767514,2493,87.645407139992,5.73606097071801,4.89370236662655,1.12314480545527
06037104704,104704,1026,40,1414,69,3.89863547758285,4.85954486336603,4.87977369165488,4.01824829643362,-0.981138214072034,75.7734503011178,79340,23.6980306345733,13.2505870513251,4570,81.3347921225383,7.68052516411379,6.08315098468271,2.88840262582057
06037104821,104821,722,77,816,75,10.6648199445983,6.31239588527615,9.19117647058824,5.26793730387481,1.4736434740101,35.9811299819949,73214,16.5501905972046,9.32889100428367,3194,93.7382592360676,3.38134001252348,0,1.28365685660614
06037104822,104822,380,48,652,61,12.6315789473684,9.944390772454,9.3558282208589,5.91164325574312,3.27575072650953,47.8580103030968,51429,22.5702441271304,7.10267229254571,2171,93.0907415937356,2.21096269000461,0,4.37586365730078
