GEO_ID,B03002_E001,B03002_M001,B03002_E002,B03002_M002,B03002_E003,B03002_M003,B03002_E004,B03002_M004,B03002_E005,B03002_M005,B03002_E006,B03002_M006,B03002_E007,B03002_M007,B03002_E008,B03002_M008,B03002_E009,B03002_M009,B03002_E010,B03002_M010,B03002_E011,B03002_M011,B03002_E012,B03002_M012,B03002_E013,B03002_M013,B03002_E014,B03002_M014,B03002_E015,B03002_M015,B03002_E016,B03002_M016,B03002_E017,B03002_M017,B03002_E018,B03002_M018,B03002_E019,B03002_M019,B03002_E020,B03002_M020,B03002_E021,B03002_M021
1400000US06037102107,3699,742,2722,832,2395,751,18,22,23,34,151,90,0,14,0,14,135,112,54,74,81,86,977,367,184,188,0,14,10,16,0,14,0,14,141,119,642,306,583,288,59,91
1400000US06037103101,2876,354,2032,285,1671,288,2,7,0,14,236,127,0,14,13,21,110,86,12,18,98,86,844,307,203,184,24,36,26,30,42,60,0,14,90,61,459,196,427,193,32,30
1400000US06037103102,4475,484,3659,447,3078,463,77,101,0,14,347,187,0,14,0,14,157,112,59,88,98,74,816,259,76,73,0,14,0,14,0,14,0,14,461,220,279,140,213,123,66,89
1400000US06037103201,4275,541,2484,578,1895,591,126,91,0,14,401,257,6,11,0,14,56,47,14,23,42,38,1791,497,119,147,11,22,77,102,0,14,0,14,464,285,1120,531,815,445,305,199
1400000US06037103202,2146,626,1599,619,1058,166,66,45,0,14,37,34,0,14,394,617,44,43,6,10,38,39,547,128,75,85,0,14,12,17,0,14,0,14,400,133,60,69,60,69,0,14
1400000US06037103300,3781,571,3207,606,2600,553,79,106,3,7,257,131,0,14,10,16,258,153,55,60,203,132,574,218,41,44,0,14,0,14,0,14,0,14,14,20,519,211,503,209,16,26
1400000US06037103401,2522,410,2069,404,1654,407,7,10,14,17,285,155,0,14,0,14,109,87,11,17,98,86,453,153,16,20,0,14,0,14,0,14,0,14,162,143,275,137,219,119,56,46
1400000US06037103402,3626,599,2930,600,2384,567,210,233,0,14,169,115,0,14,77,106,90,82,27,44,63,68,696,258,141,108,0,14,11,17,0,14,0,14,120,76,424,261,374,256,50,49
1400000US06037104103,4063,909,1153,467,338,143,441,402,0,14,221,126,0,14,52,78,101,73,0,14,101,73,2910,907,85,69,0,14,32,41,0,14,0,14,1118,419,1675,850,1619,848,56,48
1400000US06037104105,5766,704,1099,232,293,144,427,222,9,16,111,106,0,19,0,19,259,331,7,11,252,331,4667,721,411,251,0,19,48,70,11,19,0,19,1993,695,2204,603,2204,603,0,19
1400000US06037104108,4939,531,830,217,107,81,333,165,0,14,191,178,0,14,80,96,119,101,0,14,119,101,4109,595,204,180,13,22,0,14,0,14,0,14,1565,469,2327,579,2243,564,84,111
1400000US06037104124,3950,522,1945,316,1243,288,382,174,6,11,229,132,0,14,0,14,85,73,13,21,72,70,2005,447,160,142,0,14,55,96,0,14,0,14,507,306,1283,361,1159,353,124,139
1400000US06037104201,4337,615,632,368,10,18,409,248,5,9,208,272,0,14,0,14,0,14,0,14,0,14,3705,626,91,86,0,14,20,21,7,11,0,14,1849,661,1738,556,1736,556,2,3
