GEO_ID,B19013_E001,B19013_M001
1400000US06037212304,45994,5381
1400000US06037212305,47525,4897
1400000US06037212306,63194,3986
1400000US06037212410,49403,4970
1400000US06037212420,57732,9611
1400000US06037212501,44699,36438
1400000US06037212502,73406,17075
1400000US06037212610,67159,16605
1400000US06037212620,41125,14806
1400000US06037212701,85030,14417
1400000US06037212702,74727,40852
1400000US06037212800,101932,54114
1400000US06037212900,55360,9649
1400000US06037213100,60527,9801
1400000US06037213201,44849,9068
1400000US06037213202,68534,8906
1400000US06037213310,50313,27379
1400000US06037213320,40139,13769
1400000US06037213401,60590,16669
1400000US06037213402,45700,16424
1400000US06037214000,150288,46951
1400000US06037214100,162159,37157
1400000US06037214400,102725,22072
1400000US06037214501,118885,10836
1400000US06037214503,96225,12471
1400000US06037214504,110125,14058
1400000US06037214505,102279,38872
1400000US06037214600,120229,35738
1400000US06037214700,125515,23316
1400000US06037214800,96513,22775
1400000US06037214902,109450,17831
1400000US06037214903,59038,43161
1400000US06037214904,126824,42046
1400000US06037215101,91250,26573
1400000US06037215102,92889,17802
1400000US06037216100,168531,16085
1400000US06037216201,120282,29398
1400000US06037216202,78859,46373
1400000US06037216301,99738,71511
1400000US06037216302,100000,23021
1400000US06037216401,97223,11457
1400000US06037216402,101470,7131
1400000US06037216700,97406,14820
1400000US06037216800,121597,30752
1400000US06037216901,106354,36441
1400000US06037216902,87222,30849
1400000US06037217001,129688,41724
1400000US06037217002,101265,9043
1400000US06037217101,89453,66001
1400000US06037217102,97625,45600
1400000US06037217200,91076,23383
1400000US06037218110,48897,24539
1400000US06037218120,57188,13194
1400000US06037218210,59151,6734
1400000US06037218220,81667,12525
1400000US06037218300,78069,26531
1400000US06037218400,103843,14413
1400000US06037218500,77938,24394
1400000US06037218600,76406,16350
1400000US06037218701,51477,21383
1400000US06037218702,61616,7502
1400000US06037218800,53750,5450
1400000US06037218900,63269,15344
1400000US06037219010,87171,31404
1400000US06037219020,80481,28627
1400000US06037219300,57298,20142
1400000US06037219500,103050,43120
1400000US06037219700,82586,30503
1400000US06037219800,69120,13844
1400000US06037219901,63401,25655
1400000US06037219902,107059,69918
1400000US06037220000,65453,31090
1400000US06037220100,73750,29189
1400000US06037221110,48622,9156
1400000US06037221120,47431,8353
1400000US06037221210,71382,23779
1400000US06037221220,54083,15360
1400000US06037221302,37220,26373
1400000US06037221303,61786,18528
1400000US06037221304,47279,15626
1400000US06037221401,49654,15724
1400000US06037221402,36736,16782
1400000US06037221500,46843,13372
1400000US06037221601,63351,27533
1400000US06037221602,58715,15699
1400000US06037221710,46563,7653
1400000US06037221810,33000,5792
1400000US06037221820,28466,5175
1400000US06037221900,29712,7618
1400000US06037222001,74167,13953
1400000US06037222002,71898,10141
1400000US06037222100,58040,23089
1400000US06037222200,52314,23942
1400000US06037222500,65250,20375
1400000US06037222600,45260,13436
1400000US06037222700,54167,30182
1400000US06037224010,39219,14548
1400000US06037224020,38871,11782
